Type,Block,Street Name,Postal,Latitude,Longitude
HDB,317B,YISHUN AVE 9,762317,1.434168785,103.8429504
HDB,317C,ANCHORVALE RD,543317,1.393459985,103.8882235
HDB,317C,YISHUN AVE 9,763317,1.433780483,103.8431057
HDB,317D,ANCHORVALE RD,544317,1.393466172,103.8879304
HDB,318,BT BATOK ST 32,650318,1.360945938,103.7472824
HDB,318,CLEMENTI AVE 4,120318,1.31803746,103.7654134
HDB,318,HOUGANG AVE 5,530318,1.365665004,103.8962031
HDB,318,JURONG EAST ST 31,600318,1.347508229,103.7305607
HDB,318,SEMBAWANG VISTA,750318,1.44623077,103.8199939
HDB,318,SERANGOON AVE 2,550318,1.352840462,103.8671648
HDB,318,TAMPINES ST 33,520318,1.35146094,103.9560749
HDB,318,UBI AVE 1,400318,1.32845731,103.9032746
HDB,318,WOODLANDS ST 31,730318,1.431856203,103.7770637
HDB,318A,ANCHORVALE LINK,541318,1.393728316,103.889723
HDB,318A,YISHUN AVE 9,761318,1.434074497,103.8435736
HDB,318B,ANCHORVALE LINK,542318,1.393828522,103.8889159
HDB,318B,YISHUN AVE 9,762318,1.433678336,103.8438713
HDB,318C,ANCHORVALE LINK,543318,1.393333571,103.8890002
HDB,318C,YISHUN AVE 9,763318,1.43338279,103.8435179
HDB,318D,ANCHORVALE LINK,544318,1.393140498,103.8895097
HDB,319,ANG MO KIO AVE 1,560319,1.365097853,103.8473807
HDB,319,BT BATOK ST 33,651319,1.36093482,103.7463764
HDB,319,CLEMENTI AVE 4,120319,1.317380237,103.764787
HDB,319,HOUGANG AVE 5,530319,1.365728792,103.8966246
HDB,319,JURONG EAST ST 31,600319,1.347989423,103.7304582
HDB,319,SEMBAWANG CL,750319,1.44625183,103.8192532
HDB,319,SERANGOON AVE 2,550319,1.352524392,103.8680439
HDB,319,TAMPINES ST 33,520319,1.350865206,103.9563961
HDB,319,UBI AVE 1,400319,1.328273258,103.9035943
HDB,319,WOODLANDS ST 31,730319,1.431508881,103.7774003
HDB,319A,ANCHORVALE DR,541319,1.390596903,103.8901483
HDB,319B,ANCHORVALE DR,542319,1.391397227,103.8904664
HDB,319C,ANCHORVALE DR,543319,1.390889011,103.8906341
HDB,320,ANG MO KIO AVE 1,560320,1.365592456,103.8483867
HDB,320,BT BATOK ST 33,650320,1.361206731,103.7469292
HDB,320,CLEMENTI AVE 4,120320,1.316901344,103.7653107
HDB,320,HOUGANG AVE 5,530320,1.366269896,103.8980294
HDB,320,JURONG EAST ST 31,600320,1.34875786,103.7307087
HDB,320,SEMBAWANG CL,750320,1.446437842,103.8188585
HDB,320,TAMPINES ST 33,520320,1.350701818,103.9570519
